date,flight_status,airport_parking,car_rental
2023-01-01,60,66,71
2023-01-08,58,73,72
2023-01-15,43,70,71
2023-01-22,43,70,70
2023-01-29,47,72,70
2023-02-05,38,74,70
2023-02-12,43,80,73
2023-02-19,58,82,78
2023-02-26,56,80,78
2023-03-05,51,88,78
2023-03-12,58,84,77
2023-03-19,50,86,78
2023-03-26,53,82,73
2023-04-02,53,86,77
2023-04-09,47,82,78
2023-04-16,52,83,80
2023-04-23,49,78,73
2023-04-30,47,81,77
2023-05-07,48,81,76
2023-05-14,51,89,80
2023-05-21,53,96,81
2023-05-28,52,88,79
2023-06-04,57,90,82
2023-06-11,62,100,87
2023-06-18,68,97,85
2023-06-25,90,98,100
2023-07-02,69,95,83
2023-07-09,66,96,94
2023-07-16,69,90,88
2023-07-23,65,89,87
2023-07-30,62,84,82
2023-08-06,63,80,76
2023-08-13,57,77,74
2023-08-20,54,73,69
2023-08-27,54,80,66
2023-09-03,45,72,67
2023-09-10,50,74,69
2023-09-17,47,76,65
2023-09-24,50,76,67
2023-10-01,45,80,64
2023-10-08,48,76,65
2023-10-15,47,82,65
2023-10-22,44,76,56
2023-10-29,40,71,58
2023-11-05,42,76,60
2023-11-12,48,79,61
2023-11-19,57,86,53
2023-11-26,45,68,52
2023-12-03,42,68,56
2023-12-10,52,75,52
2023-12-17,71,89,57
2023-12-24,66,75,59
2023-12-31,49,67,61
2024-01-07,72,66,68
2024-01-14,71,63,66
2024-01-21,43,65,65
2024-01-28,35,62,62
2024-02-04,40,68,65
2024-02-11,42,75,64
2024-02-18,43,75,73
2024-02-25,43,73,68
2024-03-03,48,80,72
2024-03-10,54,81,76
2024-03-17,51,82,69
2024-03-24,51,82,68
2024-03-31,51,80,71
2024-04-07,45,77,66
2024-04-14,50,81,69
2024-04-21,46,79,68
2024-04-28,45,79,71
2024-05-05,52,79,74
2024-05-12,57,85,75
2024-05-19,58,90,75
2024-05-26,63,84,74
2024-06-02,56,93,79
2024-06-09,60,92,82
2024-06-16,58,94,79
2024-06-23,67,92,84
2024-06-30,64,92,79
2024-07-07,66,89,83
2024-07-14,100,86,88
2024-07-21,93,85,84
2024-07-28,66,81,75
2024-08-04,85,83,80
2024-08-11,60,79,72
2024-08-18,59,78,72
2024-08-25,58,75,66
2024-09-01,43,71,63
2024-09-08,43,71,62
2024-09-15,46,75,64
2024-09-22,53,69,63
2024-09-29,45,76,63
2024-10-06,53,79,62
2024-10-13,45,74,63
2024-10-20,44,68,62
2024-10-27,37,68,56
2024-11-03,41,67,54
2024-11-10,39,70,54
2024-11-17,47,79,59
2024-11-24,54,79,51
2024-12-01,45,70,56
2024-12-08,45,71,55
2024-12-15,61,83,58
2024-12-22,75,85,60
2024-12-29,61,62,61
2025-01-05,70,62,65
2025-01-12,42,68,65
2025-01-19,49,61,58
2025-01-26,38,58,56
2025-02-02,41,67,55
2025-02-09,51,70,55
2025-02-16,60,75,70
2025-02-23,41,71,61
2025-03-02,47,76,66
2025-03-09,48,81,65
2025-03-16,55,79,68
2025-03-23,43,73,64
2025-03-30,54,74,66
2025-04-06,45,78,63
2025-04-13,44,74,62
2025-04-20,46,76,65
2025-04-27,49,75,62
2025-05-04,63,81,68
2025-05-11,59,88,70
2025-05-18,57,89,75
2025-05-25,55,82,71
2025-06-01,51,80,75
2025-06-08,63,92,80
2025-06-15,70,95,83
2025-06-22,74,92,84
2025-06-29,70,97,78
2025-07-06,76,96,79
2025-07-13,77,96,95
2025-07-20,75,99,88
2025-07-27,84,97,88
