date,flight status
2023-01-01,60
2023-01-08,58
2023-01-15,43
2023-01-22,43
2023-01-29,47
2023-02-05,38
2023-02-12,43
2023-02-19,58
2023-02-26,56
2023-03-05,51
2023-03-12,58
2023-03-19,50
2023-03-26,53
2023-04-02,53
2023-04-09,47
2023-04-16,52
2023-04-23,49
2023-04-30,47
2023-05-07,48
2023-05-14,51
2023-05-21,53
2023-05-28,52
2023-06-04,57
2023-06-11,62
2023-06-18,68
2023-06-25,90
2023-07-02,69
2023-07-09,66
2023-07-16,69
2023-07-23,65
2023-07-30,62
2023-08-06,63
2023-08-13,57
2023-08-20,54
2023-08-27,54
2023-09-03,45
2023-09-10,50
2023-09-17,47
2023-09-24,50
2023-10-01,45
2023-10-08,48
2023-10-15,47
2023-10-22,44
2023-10-29,40
2023-11-05,42
2023-11-12,48
2023-11-19,57
2023-11-26,45
2023-12-03,42
2023-12-10,52
2023-12-17,71
2023-12-24,66
2023-12-31,49
2024-01-07,72
2024-01-14,71
2024-01-21,43
2024-01-28,35
2024-02-04,40
2024-02-11,42
2024-02-18,43
2024-02-25,43
2024-03-03,48
2024-03-10,54
2024-03-17,51
2024-03-24,51
2024-03-31,51
2024-04-07,45
2024-04-14,50
2024-04-21,46
2024-04-28,45
2024-05-05,52
2024-05-12,57
2024-05-19,58
2024-05-26,63
2024-06-02,56
2024-06-09,60
2024-06-16,58
2024-06-23,67
2024-06-30,64
2024-07-07,66
2024-07-14,100
2024-07-21,93
2024-07-28,66
2024-08-04,85
2024-08-11,60
2024-08-18,59
2024-08-25,58
2024-09-01,43
2024-09-08,43
2024-09-15,46
2024-09-22,53
2024-09-29,45
2024-10-06,53
2024-10-13,45
2024-10-20,44
2024-10-27,37
2024-11-03,41
2024-11-10,39
2024-11-17,47
2024-11-24,54
2024-12-01,45
2024-12-08,45
2024-12-15,61
2024-12-22,75
2024-12-29,61
2025-01-05,70
2025-01-12,42
2025-01-19,49
2025-01-26,38
2025-02-02,41
2025-02-09,51
2025-02-16,60
2025-02-23,41
2025-03-02,47
2025-03-09,48
2025-03-16,55
2025-03-23,43
2025-03-30,54
2025-04-06,45
2025-04-13,44
2025-04-20,46
2025-04-27,49
2025-05-04,63
2025-05-11,59
2025-05-18,57
2025-05-25,55
2025-06-01,51
2025-06-08,63
2025-06-15,70
2025-06-22,74
2025-06-29,70
2025-07-06,76
2025-07-13,77
2025-07-20,75
2025-07-27,84
